0,category,0,0,0,0,0,0,#hash_0,#ddl
2,paintjob,300,50,50,50,50,50,#hash_33aa6d072b256b5a,#hash_57a0bab1631b1f08
1,emblem,100,32,32,32,32,32,#hash_467d46139ecec6b1,#hash_330f7a09129ab249
12,customgame,7000,50,50,50,50,50,#hash_16a94f65e0f6e3d4,#hash_6165bf62ffa97f06
11,screenshot,5000,50,50,50,50,50,#hash_7deacfdc45e7e713,#hash_0
6,clip,1000,20,25,25,25,25,#hash_fc7658f2128d919,#hash_0
10,film,3000,20,25,25,25,25,#hash_7206c95311f84b11,#hash_0
14,clip_private,2000,25,25,25,25,25,#hash_fc7658f2128d919,#hash_0
13,film_private,4000,25,25,25,25,25,#hash_7206c95311f84b11,#hash_0
15,screenshot_private,6000,50,50,50,50,50,#hash_7deacfdc45e7e713,#hash_0
16,customgame_private,8000,50,50,50,50,50,#hash_16a94f65e0f6e3d4,#hash_0
17,groups,200,50,50,50,50,50,#hash_27b869ac14830908,#gamedata/ddl/fileshare/fileshare_emblem.ddl
