0,#zm_escape_default,#,#,#,#,#,#,#,#,#,#,#,#
1,#sacred_ground,#hash_3f7a3e709c4736bf,#hash_247f17f522492991,#,#hash_10949a7065d076ef,#0,#hash_47d6ff40a86a6fc1,#zone_model_industries,#,#,#,#,#
2,#jump_shot,#hash_3f7a3f709c473872,#hash_566498ca0044aee2,#,#hash_64d77357e69aee75,#jump,#,#,#,#,#,#,#
3,#wtf,#hash_3f7a40709c473a25,#hash_1edaf6a1bff5d72f,#,#restrict_controls,#,#,#,#,#,#,#,#
4,#hash_9fd261d6ae14ca3,#hash_3f7a39709c472e40,#hash_44a299bf99de3fc8,#,#forced_reload,#,#,#,#,#,#,#,#
5,#hash_3e6efd56a664a3dc,#hash_3f7a3a709c472ff3,#hash_525b738abc05f2e5,#,#restrict_loadout,#longburst,#,#,#,#,#,#,#
6,#dead_eye,#hash_3f7a3b709c4731a6,#hash_2126b7bbe14bc6d6,#,#hash_64d77357e69aee75,#ads,#sniper_powersemi_t8,#sniper_powersemi_t8_upgraded,#hash_239e03e948486a37,#hash_5a5a297b64ff6c30,#,#,#
6,#,#,#,#,#restrict_loadout,#sniper_powersemi,#1,#,#,#,#,#,#
7,#hash_631662ec2c67bc04,#hash_3f7a3c709c473359,#hash_48c14c4d6d2739f3,#,#hash_149b9c514fee8fc3,#,#,#,#,#,#,#,#
8,#hash_19b432fbf21cdb88,#hash_3f7a45709c4742a4,#hash_47b852659704200c,#,#hash_322751dde777c910,#ads,#25,#,#,#,#,#,#
9,#hash_630f8f88bd5b7117,#hash_3f7a46709c474457,#hash_52add90a13f97149,#,#acquire_weapon,#tomahawk_t8,#1,#tomahawk_t8_upgraded,#,#,#,#,#
10,#rooftop_party,#hash_3f7dc3709c4a4e95,#hash_2013e8b5b00c8a3f,#,#defend_area,#hash_cb66a7c9adaec02,#hash_3b37ae9f869c05ff,#hash_638d9c278cd883dd,#zone_roof,#zone_roof_infirmary,#,#,#
10,#,#,#,#,#give_reward,#hash_20e770cec441c9f2,#hash_3ad6fd4b554f42a0,#uie_trial_medal_bronze,#hash_1f8e699fb25ee0a9,#,#,#,#
11,#silent_film,#hash_3f7dc2709c4a4ce2,#hash_2aac97940a325bb2,#,#hash_6c768f3c15d55377,#silent_film,#,#,#,#,#,#,#
11,#,#,#,#,#disable_hud,#,#,#,#,#,#,#,#
12,#brain_soup,#hash_3f7dc1709c4a4b2f,#hash_29bb507c115b3be1,#,#restrict_loadout,#spoon,#,#,#,#,#,#,#
12,#,#,#,#,#hash_53a5a75770adb550,#20,#20,#20,#20,#spoon_alcatraz,#spork_alcatraz,#,#
13,#hash_28f94de56a2e94d,#hash_3f7dc0709c4a497c,#hash_1c6692a42ac7bc04,#,#hash_5124770c13a75bab,#points,#10,#,#,#,#,#,#
14,#total_repack,#hash_3f7dbf709c4a47c9,#hash_225d82c14158c283,#,#upgrade_multiple,#1,#4,#,#,#,#,#,#
15,#power_through,#hash_3f7dbe709c4a4616,#hash_22cfe7bdf1f0a2e6,#,#defend_area,#hash_130dd3c4fa6ac7b,#hash_29551ae4c389cdc6,#hash_5e5832ed83fa0cc0,#zone_powerhouse,#,#,#,#
16,#hash_272ac0ee72e8623d,#hash_3f7dbd709c4a4463,#hash_113ac1693186335,#,#restrict_loadout,#mozu,#,#,#,#,#,#,#
17,#hash_6c23261f4d492d7e,#hash_3f7dbc709c4a42b0,#hash_495e61136d1a8a18,#,#forge_magmagat,#,#,#,#,#,#,#,#
18,#hash_5e9298ba68299010,#hash_3f7dcb709c4a5c2d,#hash_7a803cf62eec9897,#,#hash_28d1b9857e2ca681,#2,#,#,#,#,#,#,#
19,#japanese_horror,#hash_3f7dca709c4a5a7a,#hash_3209df1e6f3b704a,#,#zombie_speed_changes,#,#,#,#,#,#,#,#
20,#hash_5d1b24fee64e2185,#hash_3f8149709c4d681e,#hash_35c65bc2ace6e2e,#,#defend_area,#hash_7e712951b2fb386f,#hash_5f874a23b6cf6018,#hash_3e062aaa74b6ee8e,#cellblock_shower,#,#,#,#
20,#,#,#,#,#give_reward,#hash_20e46acec43f89e9,#hash_46044d0ce4567ceb,#uie_trial_medal_silver,#hash_63dfdbf360bad3a8,#,#,#,#
21,#hash_5dcea2de3056157,#hash_3f814a709c4d69d1,#hash_7e02c915b04f83eb,#,#hash_6840f605489bddc2,#prone,#,#,#,#,#,#,#
22,#pointless,#hash_3f8147709c4d64b8,#hash_4f7ba54fd8d544e0,#,#reset_points,#,#,#,#,#,#,#,#
23,#hash_f7f0df08ae49da2,#hash_3f8148709c4d666b,#hash_5c4bf26b01b252bd,#,#restrict_loadout,#no_attachments,#,#,#,#,#,#,#
24,#lockdown,#hash_3f814d709c4d6eea,#hash_6521de8792989da,#,#door_lockdown,#,#,#,#,#,#,#,#
25,#stand_firm,#hash_3f814e709c4d709d,#hash_50186cf704217ba7,#,#defend_area,#hash_17775a73cd45c14b,#hash_64b81f066e6cc540,#hash_a6b7fc2d7e6e6a,#zone_infirmary,#zone_infirmary_roof,#,#,#
26,#mobster,#hash_3f814b709c4d6b84,#hash_228c7aed5b4aa8ac,#,#restrict_loadout,#tommy_gun,#,#,#,#,#,#,#
27,#im_out,#hash_3f814c709c4d6d37,#hash_4f496d07ff6de69,#,#reset_loadout,#ammo,#,#,#,#,#,#,#
28,#hash_4c82af5bd5c0c6cc,#hash_3f8141709c4d5a86,#hash_7f60e043a8757876,#,#hash_163077e21e01f4a7,#60,#,#,#,#,#,#,#
29,#hash_d282349ebdbb182,#hash_3f8142709c4d5c39,#hash_7b070a13d922f413,#,#add_special,#zombie_dog,#50,#75,#125,#165,#,#,#
30,#hash_3a917a24f22251c1,#hash_3f84cf709c5081a7,#hash_35e44d431b990a79,#,#defend_area,#hash_68ee76c03aac6e7e,#hash_46216fff49b1da77,#hash_1c3ac4d9612e0a3d,#zone_warden_house,#zone_warden_home,#,#,#
30,#,#,#,#,#give_reward,#fastest_time_to_complete_round_30,#hash_f60cd1936dfe2ae,#uie_trial_medal_gold,#hash_57535c6fade520d3,#hash_4402d97ccdae530f,#1,#,#
