id,name
0,#prestige1_mp
1,#prestige2_mp
2,#prestige3_mp
3,#prestige4_mp
4,#prestige5_mp
5,#prestige6_mp
6,#prestige7_mp
7,#prestige8_mp
8,#prestige9_mp
9,#prestige10_mp
10,#prestigemaster_mp
11,#paragon_mp_t4_01
12,#paragon_mp_t5_01
13,#paragon_mp_t6_01
14,#paragon_mp_t7_01
15,#paragon_mp_t4_02
16,#paragon_mp_t7_02
17,#paragon_mp_t5_02
18,#paragon_mp_t6_02
19,#paragon_mp_t4_03
20,#paragon_mp_t7_03
21,#paragon_mp_t5_03
22,#paragon_mp_t6_03
23,#paragon_mp_t4_04
24,#paragon_mp_t5_04
25,#paragon_mp_t7_04
26,#paragon_mp_t6_04
27,#paragon_mp_t4_05
28,#paragon_mp_t6_05
29,#paragon_mp_t7_05
30,#paragon_mp_t5_05
31,#paragon_mp_t4_06
32,#paragon_mp_t5_06
33,#paragon_mp_t6_06
34,#paragon_mp_t7_06
35,#paragon_mp_t4_07
36,#paragon_mp_t5_07
37,#paragon_mp_t6_07
38,#paragon_mp_t7_07
39,#paragon_mp_t4_08
40,#paragon_mp_t5_08
41,#paragon_mp_t6_08
42,#paragon_mp_t7_08
43,#paragon_mp_t4_09
44,#paragon_mp_t6_09
45,#paragon_mp_t5_09
46,#paragon_mp_t7_09
47,#paragon_mp_t4_10
48,#paragon_mp_t5_12
49,#paragon_mp_t5_13
50,#paragon_mp_t5_14
51,#paragon_mp_t5_15
52,#paragon_mp_t5_10
53,#paragon_mp_t6_10
54,#paragon_mp_t6_11
55,#paragon_mp_t5_11
56,#paragon_mp_t7_10
57,#paragon_mp_t7_11
