,property,value,property,value,...
body,font-family,fonts/titleFontBold18px,,,
h1,font-family,fonts/titleFontBold36px,font-weight,bold,
h2,font-family,fonts/titleFontBold30px,font-weight,bold,
h3,font-family,fonts/titleFontBold18px,font-weight,bold,
h4,font-family,fonts/titleFontBold18px,,,
h5,font-family,fonts/titleFontBold18px,,,
h6,font-family,fonts/titleFontBold18px,,,
p,font-family,fonts/titleFontBold18px,,,
ul,font-family,fonts/titleFontBold18px,,,
li,padding-bottom,5px,,,
b,font-weight,bold,,,
i,font-style,italic,,,
.alert,color,,,,
.warning,color,,,,
