iconId,name,level,minXp,maxXp,shortNameRef,fullNameRef,ingameNameRef,iconName,iconNameLarge,rewards
0,#hash_5bfa07d686eb3ec4,1,0,5,#hash_6c03440980dc913d,#hash_6c03440980dc913d,#hash_6c03440980dc913d,#ui_icon_wz_prestige_01,#ui_icon_wz_prestige_01,
1,#hash_5bfa0ad686eb43dd,2,5,10,#hash_6c03410980dc8c24,#hash_6c03410980dc8c24,#hash_6c03410980dc8c24,#ui_icon_wz_prestige_02,#ui_icon_wz_prestige_02,
2,#hash_5bfa09d686eb422a,3,10,25,#hash_6c03420980dc8dd7,#hash_6c03420980dc8dd7,#hash_6c03420980dc8dd7,#ui_icon_wz_prestige_03,#ui_icon_wz_prestige_03,
3,#hash_5bfa04d686eb39ab,4,25,75,#hash_6c033f0980dc88be,#hash_6c033f0980dc88be,#hash_6c033f0980dc88be,#ui_icon_wz_prestige_04,#ui_icon_wz_prestige_04,
4,#hash_5bfa03d686eb37f8,5,75,100,#hash_6c03400980dc8a71,#hash_6c03400980dc8a71,#hash_6c03400980dc8a71,#ui_icon_wz_prestige_05,#ui_icon_wz_prestige_05,
5,#hash_5bfa06d686eb3d11,6,100,150,#hash_6c033d0980dc8558,#hash_6c033d0980dc8558,#hash_6c033d0980dc8558,#ui_icon_wz_prestige_06,#ui_icon_wz_prestige_06,
6,#hash_5bfa05d686eb3b5e,7,150,200,#hash_6c033e0980dc870b,#hash_6c033e0980dc870b,#hash_6c033e0980dc870b,#ui_icon_wz_prestige_07,#ui_icon_wz_prestige_07,
7,#hash_5bfa00d686eb32df,8,200,250,#hash_6c033b0980dc81f2,#hash_6c033b0980dc81f2,#hash_6c033b0980dc81f2,#ui_icon_wz_prestige_08,#ui_icon_wz_prestige_08,
8,#hash_5bf9ffd686eb312c,9,250,300,#hash_6c033c0980dc83a5,#hash_6c033c0980dc83a5,#hash_6c033c0980dc83a5,#ui_icon_wz_prestige_09,#ui_icon_wz_prestige_09,
9,#hash_5bf682d686e826ee,10,300,350,#hash_6c06a90980df72b3,#hash_6c06a90980df72b3,#hash_6c06a90980df72b3,#ui_icon_wz_prestige_10,#ui_icon_wz_prestige_10,
10,#hash_5bf683d686e828a1,11,350,400,#hash_6c06a80980df7100,#hash_6c06a80980df7100,#hash_6c06a80980df7100,#ui_icon_wz_prestige_11,#ui_icon_wz_prestige_11,
11,#hash_5bf680d686e82388,12,400,500,#hash_6c06ab0980df7619,#hash_6c06ab0980df7619,#hash_6c06ab0980df7619,#hash_30f6e6740554fa3d,#hash_30f6e6740554fa3d,
12,#hash_5bf681d686e8253b,13,500,500,#hash_6c06aa0980df7466,#hash_6c06aa0980df7466,#hash_6c06aa0980df7466,#hash_30f6e5740554f88a,#hash_30f6e5740554f88a,
