id,name
0,#wz_rank_01
1,#wz_rank_02
2,#wz_rank_03
3,#wz_rank_04
4,#wz_rank_05
5,#wz_rank_06
6,#wz_rank_07
7,#wz_rank_08
8,#wz_rank_09
9,#wz_rank_10
10,#wz_rank_11
11,#wz_rank_12
12,#wz_rank_13
13,#wz_rank_14
14,#wz_rank_15
15,#wz_rank_16
16,#wz_rank_17
17,#wz_rank_18
18,#wz_rank_19
19,#wz_rank_20
20,#wz_rank_21
21,#wz_rank_22
22,#wz_rank_23
23,#wz_rank_24
24,#wz_rank_25
25,#wz_rank_26
26,#wz_rank_27
27,#wz_rank_28
28,#wz_rank_29
29,#wz_rank_30
30,#wz_rank_31
31,#wz_rank_32
32,#wz_rank_33
33,#wz_rank_34
34,#wz_rank_35
35,#wz_rank_36
36,#wz_rank_37
37,#wz_rank_38
38,#wz_rank_39
39,#wz_rank_40
40,#wz_rank_41
41,#wz_rank_42
42,#wz_rank_43
43,#wz_rank_44
44,#wz_rank_45
45,#wz_rank_46
46,#wz_rank_47
47,#wz_rank_48
48,#wz_rank_49
49,#wz_rank_50
50,#wz_rank_51
51,#wz_rank_52
52,#wz_rank_53
53,#wz_rank_54
54,#wz_rank_55
55,#wz_rank_56
56,#wz_rank_57
57,#wz_rank_58
58,#wz_rank_59
59,#wz_rank_60
60,#wz_rank_61
61,#wz_rank_62
62,#wz_rank_63
63,#wz_rank_64
64,#wz_rank_65
65,#wz_rank_66
66,#wz_rank_67
67,#wz_rank_68
68,#wz_rank_69
69,#wz_rank_70
70,#wz_rank_71
71,#wz_rank_72
72,#wz_rank_73
73,#wz_rank_74
74,#wz_rank_75
75,#wz_rank_76
76,#wz_rank_77
77,#wz_rank_78
78,#wz_rank_79
79,#wz_rank_80
80,#wz_rank_81
