1,359470051,#hash_4421e8353864436f,#palette,#legendary,0,#hash_0,#hash_0,#hash_0,,#hash_215efce6af8d9a10,#hash_7ccbc6b8805ead08,#hash_5db0a2df65532075
2,0,#contraband,#hash_0,#hash_0,0,#hash_0,#hash_0,#hash_0,,#hash_0,#hash_0,#hash_0
3,329202296,#hash_183036bea383329f,#decal,#legendary,0,#hash_0,#hash_0,#hash_0,,#hash_215efce6af8d9a10,#hash_7ccbc6b8805ead08,#hash_5db0a2df65532075
4,0,#contraband,#hash_0,#hash_0,0,#hash_0,#hash_0,#hash_0,,#hash_0,#hash_0,#hash_0
5,396487587,#hash_7012f5a86772257e,#tag,#common,0,#hash_0,#hash_0,#hash_0,,#hash_215efce6af8d9a10,#hash_7ccbc6b8805ead08,#hash_0
6,0,#contraband,#hash_0,#hash_0,0,#hash_0,#hash_0,#hash_0,,#hash_0,#hash_0,#hash_0
7,301579116,#loot_ui_icon_callingcards_muertos_ruin,#calling_card,#rare,0,#hash_0,#hash_0,#hash_0,,#hash_0,#hash_0,#hash_0
8,0,#contraband,#hash_0,#hash_0,0,#hash_0,#hash_0,#hash_0,,#hash_0,#hash_0,#hash_0
9,399076369,#hash_6d88438bdb7a0f42,#war_paint,#legendary,0,#hash_0,#hash_0,#hash_0,,#hash_215efce6af8d9a10,#hash_7ccbc6b8805ead08,#hash_5db0a2df65532075
10,343156398,#hash_153e3bdc8df111b0,#gesture,#legendary,0,#hash_0,#hash_0,#hash_0,,#hash_215efce6af8d9a10,#hash_7ccbc6b8805ead08,#hash_0
