436404,#loot_contract_russman,#ultra,1,#character,1000,,0
484804,#loot_contract_deep_voyage,#ultra,1,#hash_3d74cf5a087733f7,1900,,0
447429,#loot_contract_kn57_mastercraft,#ultra,1,#hash_3d74cf5a087733f7,2400,,0
483932,#loot_contract_party_rock,#epic,1,#hash_50f6d84b91339c8b,700,,0
491298,#hash_41b99ba75fc6815b,#epic,1,#outfit,800,,0
492079,#loot_contract_replacer_vacation,#ultra,1,#character,1000,,0
430260,#loot_contract_gks_mastercraft,#ultra,1,#hash_3d74cf5a087733f7,1900,,0
461422,#hash_7a9f4e2cbba7040c,#legendary,1,#outfit,500,,0
453107,#loot_contract_misty,#ultra,1,#character,800,,0
410686,#hash_45f6e52b608f6c7e,#rare,1,#outfit,500,,0
401030,#hash_176bc271dd0d0153,#legendary,1,#outfit,500,,0
456062,#loot_contract_carbon_cobra,#ultra,1,#hash_5cc13b0f8eeff726,2000,,0
418240,#loot_contract_grigori_weaver,#ultra,1,#character,800,,0
442606,#hash_654fec57e810f500,#legendary,1,#outfit,500,,0
404446,#loot_contract_nomad_heist,#epic,1,#outfit,800,,0
400312,#loot_contract_zero_cyberpunk,#epic,1,#hash_50f6d84b91339c8b,700,,0
404599,#hash_909b7a622671fe8,#hash_0,1,#event,0,,0
418379,#hash_12253e31ee802772,#hash_0,1,#event,0,,0
442994,#hash_1d3916c363e9b980,#legendary,1,#outfit,500,,0
412726,#hash_3fc6cb71e2f11c96,#legendary,1,#outfit,500,,0
429240,#hash_30ce320acbec7290,#legendary,1,#outfit,500,,0
495313,#hash_76f58f14e7899deb,#legendary,1,#outfit,500,,0
486788,#loot_contract_richtofen,#ultra,1,#character,600,,0
410181,#hash_1d5b58a7c44e0bc9,#legendary,1,#outfit,500,,0
456525,#loot_contract_space_shuttle,#ultra,1,#hash_3d74cf5a087733f7,1000,,0
405499,#loot_contract_stuhlinger,#ultra,1,#character,800,,0
442690,#hash_5005572016f98ebf,#legendary,1,#outfit,500,,0
498591,#hash_362b4c89df6c4748,#epic,1,#outfit,800,,0
459990,#loot_contract_patriot,#ultra,1,#hash_5cc13b0f8eeff726,1000,,0
481864,#hash_5af2c89caaa95830,#legendary,1,#outfit,500,,0
448419,#loot_contract_seraph_cop,#epic,1,#outfit,800,,0
418554,#loot_contract_valkyrie,#ultra,1,#hash_3d74cf5a087733f7,1500,,0
454180,#hash_4e19340ec03e16e2,#hash_0,1,#event,0,,0
482087,#loot_contract_crash_cop,#epic,1,#outfit,800,,0
415891,#loot_contract_sergei,#ultra,1,#character,1000,,0
489358,#hash_46c3a0c6a5852e6c,#epic,1,#outfit,800,,0
447694,#loot_contract_icr7_mastercraft,#ultra,1,#hash_3d74cf5a087733f7,1900,,0
486535,#hash_4e7fde1bd5e47b70,#hash_0,1,#event,0,,0
480693,#loot_contract_afterglow,#legendary,1,#weapon_camo,700,,0
492878,#loot_contract_tedd,#ultra,1,#character,1000,,0
490878,#hash_1650e2d48996a074,#legendary,1,#outfit,500,,0
450566,#hash_1fee79ced1e551fe,#rare,1,#outfit,500,,0
423703,#hash_5e9c5f76f4313ee,#legendary,1,#outfit,500,,0
495787,#loot_contract_rampart_mastercraft,#ultra,1,#hash_3d74cf5a087733f7,1900,,0
434883,#loot_contract_ahabs_revenge,#ultra,1,#hash_3d74cf5a087733f7,2000,,0
474203,#hash_46cba3b9a82eecc0,#epic,1,#outfit,800,,0
413629,#loot_contract_ajax_roman_warrior,#epic,1,#outfit,700,,0
475221,#hash_6ef3ba6380c215fa,#hash_0,1,#event,0,,0
446177,#hash_4fa997983aa038dc,#legendary,1,#outfit,500,,0
