10001,#hash_317a8b8df3aa8838,#combat,15,0,1,#hash_534f6d4402126d63,#hash_61911c5777a3e35,1,?0
10002,#hash_369e3fd5caa5145b,#equipment,5,0,1,#hash_2dba0f331172b1b5,#hash_1f23be9fb6be259f,1,?0
10003,#hash_1005918e22a7865b,#combat,50,0,1,#contract/ar_kills,#hash_3e0049cd3f89a78b,1,?0
10004,#hash_2173bc0bfcbdf90f,#combat,50,0,1,#contract/smg_kills,#hash_64543c7325aef40d,1,?0
10005,#hash_151c8e7a35e1e380,#combat,50,0,1,#contract/lmg_kills,#hash_51f37a6c26639e8e,1,?0
10006,#hash_1a4fe101c7aab2d,#combat,50,0,1,#hash_7e03963e29bfac7f,#hash_f549ac599bfd151,1,?0
10007,#hash_21762ab1513fddf,#combat,25,0,1,#contract/sniper_kills,#hash_551d59e9238f33,1,?0
10008,#hash_5262d5b92e0fdc2,#combat,40,0,1,#contract/shotgun_kills,#hash_5ee9d6abbd6f1788,1,?0
10009,#hash_250c2d8ef2261723,#combat,40,0,1,#contract/pistol_kills,#hash_20d4c08212e316ff,1,?0
10010,#hash_3ffc3d28289d21bb,#equipment,5,0,1,#hash_263d212048a01bfa,#hash_4ef6f5bcd0444ca,1,?0
10011,#contract_mp_headshot,#combat,10,1,1,#contract/headshots,#hash_4dfa29d9b6ff5d39,1,?0
10012,#hash_4c15367eed618401,#combat,5,1,1,#hash_1f2bf553bbc79fcc,#hash_1b09fcd9ef1f3234,1,?0
10013,#hash_172456fa969d6c82,#equipment,5,0,1,#hash_605752ea765651a9,#hash_40d983f1118110a3,1,?0
10014,#hash_6696408f54c6ada7,#equipment,1,1,1,#hash_62dbe11680b4eef1,#hash_13cd7d195e7d924b,1,?0
10015,#contract_mp_molotov_kill,#equipment,5,0,1,#contract/molotov_kill,#hash_f2d6eb9f5851c95,1,?0
10016,#hash_4a7d49c14e026e91,#equipment,1,1,1,#hash_5befe7797bce6583,#hash_6ea2fe9a01a3f715,1,?0
10017,#contract_mp_bankshot,#combat,1,1,1,#contract/bankshot,#hash_9cdd0f69c683802,1,?0
10018,#contract_mp_longshot,#combat,5,0,1,#contract/longshot,#hash_7d1a7f09afc4ec2a,1,?0
10019,#contract_mp_shutdown,#combat,1,1,1,#contract/shutdown,#hash_30e2c6375fde357e,1,?0
10020,#hash_47f2f8fa5afb9d01,#combat,20,0,1,#hash_2282d622d302889f,#hash_687173fbbb7bb631,1,?0
10021,#contract_mp_quad_feed,#combat,1,1,1,#hash_278b3ee1c2e57db8,#hash_78ad77317700efe0,1,?0
10022,#contract_mp_pickup_weapon_kills,#combat,20,0,1,#contract/pickup_weapon_kills,#hash_16ea84d340b412d9,1,?0
10023,#contract_mp_hotswap_multikill,#combat,1,1,1,#hash_33980b071901ecf,#hash_59aa227403cf2741,1,?0
10024,#contract_mp_attachments3_primary_ekia,#combat,50,0,1,#contract/attachments3_primary_ekia,#hash_ce61d584669f60f,1,?0
10025,#hash_d18e3651f508489,#combat,50,0,1,#hash_4180961353c85f0f,#hash_6d5a7ba8f5515881,1,?0
10026,#hash_264228bd931f8deb,#combat,40,0,1,#hash_32fe051f51155d11,#hash_10fee2023ccc2b,1,?0
10027,#hash_469703d9a67cf0dd,#combat,40,0,1,#hash_4953dbaa91647587,#hash_719c8f681cfe5019,1,?0
10028,#contract_mp_overkill,#combat,10,0,1,#contract/overkill,#hash_3ecf208d7e623fca,1,?0
10029,#contract_mp_class_5_perks,#combat,50,0,1,#contract/class_5_perks,#hash_5f2db65acb259906,1,?0
10030,#contract_mp_class_gluttony,#combat,50,0,1,#contract/class_gluttony,#hash_75e430c621f6966d,1,?0
10031,#contract_mp_dart_kills,#scorestreak,5,0,1,#contract/dart_kills,#hash_5050a37645136005,1,?0
10032,#contract_mp_gunship_kills,#scorestreak,5,1,1,#contract/gunship_kills,#hash_329f75174529c9f2,1,?0
10033,#contract_mp_rcxd_kills,#scorestreak,5,0,1,#contract/rcxd_kills,#hash_106370fbfe90d3f3,1,?0
10034,#contract_mp_lightning_strike,#scorestreak,5,1,1,#contract/lightning_strike,#hash_42956ebee80ec613,1,?0
10035,#contract_mp_hellstorm_kills,#scorestreak,5,1,1,#contract/hellstorm_kills,#hash_1ee01aedbcba2242,1,?0
10036,#contract_mp_mantis_kills,#scorestreak,5,1,1,#contract/mantis_kills,#hash_14af2b6fdd622702,1,?0
10037,#hash_45b74ebf1ab2fd47,#combat,1,1,1,#hash_220a0fc6f05d0d45,#hash_63006ec03524910f,1,?0
10038,#hash_ca75e54eb5e5ef8,#combat,1,1,1,#hash_4c9c3ba74277a176,#hash_413d68b6a2f85d86,1,?0
10039,#contract_mp_merciless,#combat,1,1,1,#contract/merciless,#hash_5f900862631673bb,1,?0
10040,#contract_mp_objective_capture,#objective,10,0,1,#hash_112b6434206e526a,#hash_7e7f8875e494845a,1,?0
10041,#contract_mp_eliminations,#objective,25,0,1,#contract/eliminations,#hash_42a2db502058dc8a,1,?0
10042,#contract_mp_objective_ekia,#objective,50,0,1,#hash_2bf42e5c4da414e2,#hash_2d8f4c8584bab3b2,1,?0
