1,10,#bronze_stars,#hash_4a608d3fbb6904f9,#hash_2d96670a1b64ff33
2,15,#best_killstreak,#hash_1d25924ca477662e,#hash_2cdeb47c4b00e108
3,10,#hash_287942b71dbfe24f,#hash_257c88f70eb4907f,#hash_5ebe96a28ae3d025
4,25,#melee_kills,#hash_52b0e6128444c4b4,#hash_62c7bbe1cf228c22
5,50,#hash_512584b15284d144,#hash_323604e7b8b3c2ad,#hash_7c5aef3c3f69516f
6,10,#silver_stars,#hash_3302fc33c18f9062,#hash_26a42e6479db09b4
7,100,#headshots,#hash_411b1a87f66d4d23,#hash_5dd80834840167d1
8,50,#scorestreak_kills,#hash_68fa3ff9a1b7f298,#hash_592735c9fb198bce
9,25,#hash_1ebacadf6dc3dbdf,#hash_24f6c0f728089371,#hash_803bb4a9a46c08b
10,100,#hash_513bb5302a850f1c,#hash_6a121b6a02df0fd3,#hash_73b491690ceb621
11,150,#veteran_kills,#hash_34c5c38792458392,#hash_28c8b5bbf9a3e644
12,10,#gold_stars,#hash_64682ea6ae232b9d,#hash_7f80d8f9f6de977f
13,0,#hash_0,#hash_4e6308c47136e028,#hash_16507e939265eebe
