1,346173322,#loot_pistol_standard_sig_01,#hash_5cc13b0f8eeff726,#ultra,0,#,#,#pistol_standard,,#,#,#
2,384184002,#loot_ui_icon_callingcards_mode_monkey_signature_1,#calling_card,#rare,0,#hash_28a9eebe67ed9c92,#,#,,#,#,#
3,344803075,#hash_3d5354738efd6201,#tag,#common,0,#hash_61b1384faa1e707b,#,#,,#,#,#
4,387153643,#loot_ui_icon_callingcards_mode_monkey_signature_2,#calling_card,#rare,0,#hash_28a9eebe67ed9c92,#,#,,#,#,#
5,330538154,#hash_3d5351738efd5ce8,#tag,#common,0,#hash_61b1384faa1e707b,#,#,,#,#,#
6,379085545,#loot_ui_icon_callingcards_mode_monkey_signature_3,#calling_card,#rare,0,#hash_28a9eebe67ed9c92,#,#,,#,#,#
7,339423263,#hash_3d5352738efd5e9b,#tag,#common,0,#hash_61b1384faa1e707b,#,#,,#,#,#
8,375518765,#loot_ui_icon_callingcards_mode_monkey_signature_4,#calling_card,#rare,0,#hash_28a9eebe67ed9c92,#,#,,#,#,#
9,317411825,#hash_3d5357738efd671a,#tag,#common,0,#hash_61b1384faa1e707b,#,#,,#,#,#
10,332217756,#loot_ui_icon_callingcards_mode_monkey_signature_5,#calling_card,#rare,0,#hash_28a9eebe67ed9c92,#,#,,#,#,#
11,315862462,#hash_3d5358738efd68cd,#tag,#common,0,#hash_61b1384faa1e707b,#,#,,#,#,#
12,304343867,#loot_ui_icon_callingcards_mode_monkey_signature_7,#calling_card,#rare,0,#hash_28a9eebe67ed9c92,#,#,,#,#,#
13,345570600,#loot_ar_fastfire_sig_01,#hash_5cc13b0f8eeff726,#ultra,0,#,#,#ar_fastfire_t8,,#,#,#
