0,10,10,5,#playerstatslist,#rank,#hash_0,#hash_6fc5578028942b7b,#hash_2714aef7d930846d,#ui_icon_callingcards_mp_career_gamevictories_dominationwins
1,25,25,10,#playerstatslist,#rank,#hash_0,#hash_279fa12178f408a7,#hash_19efb565cdbc3f79,#ui_icon_callingcards_mp_career_gamevictories_teamdeathmacthwin
2,1,1,1,#hash_0,#hash_0,#hash_0,#hash_7dbea0e2dc6713cc,#hash_52e98d8e5ed10e34,#ui_icon_callingcards_mp_career_gamevictories_controlwins
3,50,100,2,#item_group_stats,#weapon_assault,#kills,#hash_69946b621fcccfd0,#hash_4b85c8dc83baccf8,#ui_icon_callingcards_mp_career_gamevictories_conquest
4,50,100,2,#item_group_stats,#weapon_smg,#kills,#hash_224c54fdcef87dd4,#hash_3e8c04cdb9ba7e9c,#ui_icon_callingcards_mp_career_gamevictories_bountyhunter
5,50,100,2,#item_group_stats,#weapon_tactical,#kills,#hash_787fc7f076baf24d,#hash_39b822fe5af2bb77,#ui_icon_callingcards_mp_career_gamevictories_killconfirmedwins
6,50,100,2,#item_group_stats,#weapon_sniper,#kills,#hash_aeb98c28f6c6d5c,#hash_64e6e50e338ae6a4,#ui_icon_callingcards_mp_career_gamevictories_hardpoint
7,50,100,2,#item_group_stats,#weapon_lmg,#kills,#hash_520a8aaa581bcee5,#hash_b876c65f89db7ef,#ui_icon_callingcards_mp_career_gamevictories_freeforallvictor
8,50,100,2,#item_group_stats,#weapon_cqb,#kills,#hash_5a1b283e87658d27,#hash_3dc91d57c7ff7cf9,#ui_icon_callingcards_mp_career_gamevictories_shoutout
9,50,100,2,#item_group_stats,#weapon_pistol,#kills,#hash_60f1a3a6c0a6dbdc,#hash_70c5f1ac0864a224,#ui_icon_callingcards_mp_career_gamevictories_searchanddestroy
10,25,50,2,#playerstatslist,#kills_equipment,#hash_0,#hash_1876b2f0796fcc9d,#hash_c41588026830fa7,#ui_icon_callingcards_mp_career_gamevictories_baseassaultwins
11,50,100,5,#item_group_stats,#weapon_launcher,#kills,#hash_1a76fbf2e3649d3c,#hash_11a4ea6760e729c4,#ui_icon_callingcards_mp_career_gamevictories_supremacy
12,0,0,0,#hash_0,#hash_0,#hash_0,#hash_75e239a77a0cbd53,#hash_217b9342ef50e005,#ui_icon_callingcards_mp_career_gamevictories_master
