1,392965393,#loot_ui_icon_stickers_random_13_large,#sticker,#common,0,#,#,#,,#,#,#
2,0,#,#,#,0,#,#,#,,#,#,#
3,330894727,#hash_63a644aa6e07c0b6,#gesture,#legendary,0,#,#,#,,#,#,#
4,0,#,#,#,0,#,#,#,,#,#,#
5,334618301,#hash_46952e64f6f1af6d,#hash_248b82a2276a1caf,#rare,0,#,#,#,,#,#,#
6,0,#,#,#,0,#,#,#,,#,#,#
7,377077721,#hash_30da5687cbb7e5ec,#gesture,#legendary,0,#,#,#,,#,#,#
8,0,#,#,#,0,#,#,#,,#,#,#
9,309323911,#hash_3f8469f576f2a204,#hash_248b82a2276a1caf,#rare,0,#,#,#,,#,#,#
10,0,#,#,#,0,#,#,#,,#,#,#
11,331002210,#hash_24cac56fd9970a45,#gesture,#legendary,0,#,#,#,,#,#,#
12,0,#,#,#,0,#,#,#,,#,#,#
13,350005831,#hash_2907cc3dac7b93,#hash_248b82a2276a1caf,#rare,0,#,#,#,,#,#,#
14,0,#,#,#,0,#,#,#,,#,#,#
15,0,#,#,#,0,#,#,#,,#,#,#
16,316926929,#hash_2ca442bb45aa2d2b,#gesture,#legendary,0,#,#,#,,#,#,#
17,0,#,#,#,0,#,#,#,,#,#,#
18,0,#,#,#,0,#,#,#,,#,#,#
19,0,#,#,#,0,#,#,#,,#,#,#
20,390273744,#hash_856ce4919a35a79,#hash_248b82a2276a1caf,#legendary,0,#,#,#,,#,#,#
