0,#b1
262966,#pistol_topbreak_t8
298659,#perk_stronghold
245119,#zm_bgb_aftertaste
208060,#tr_longburst_t8
217176,#ar_accurate_t8
238020,#perk_mystery
230330,#zm_bgb_point_drops
269429,#pistol_revolver_t8
265666,#lmg_standard_t8
297467,#eq_acid_bomb
222489,#zm_bgb_anti_entrapment
271739,#smg_drum_pistol_t8
216102,#ar_fastfire_t8
257251,#perk_tortoise
258943,#zm_bgb_nowhere_but_there
232319,#tr_leveraction_t8
216770,#sniper_powersemi_t8
241947,#perk_dead_shot
249492,#zm_bgb_now_you_see_me
297066,#shotgun_trenchgun_t8
274637,#ar_modular_t8
265437,#claymore
224128,#zm_bgb_arsenal_accelerator
235024,#pistol_standard_t8
221350,#smg_standard_t8
220244,#perk_bandolier
267166,#feature_custom_class_5
220924,#lmg_spray_t8
246107,#ar_mg1909_t8
250820,#perk_widows_wine
210363,#zm_bgb_pop_shocks
276141,#smg_fastfire_t8
299259,#sniper_powerbolt_t8
235796,#eq_wraith_fire
281730,#zm_bgb_stock_option
244210,#pistol_burst_t8
245724,#tr_midburst_t8
244858,#perk_additional_primary_weapon
209180,#zm_bgb_newtonian_negation
280354,#lmg_heavy_t8
209042,#shotgun_semiauto_t8
202082,#perk_slider
292264,#feature_custom_class_6
261976,#smg_handling_t8
234625,#smg_accurate_t8
229529,#mini_turret
291145,#launcher_standard_t8
291983,#ar_damage_t8
275418,#smg_capacity_t8
265856,#shotgun_pump_t8
276997,#sniper_quickscope_t8
221483,#tr_powersemi_t8
235790,#ar_stealth_t8
228353,#sniper_fastrechamber_t8
218409,#lmg_double_t8
