layer,100,9,0
layer,200,9,0
layer,300,9,0
layer,400,9,0
layer,1000,9,0
layer,1500,9,0
layer,2500,15,0
layer,5000,24,0
layer,5500,33,0
layer,6000,42,0
layer,7000,46,0
layer,8000,49,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,15,0
layer,8000,24,0
layer,8000,33,0
layer,8000,42,0
layer,8000,46,0
layer,8000,49,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,15,0
layer,8000,24,0
layer,100,9,0
layer,200,9,0
layer,300,9,0
layer,400,9,0
layer,1000,9,0
layer,1500,9,0
layer,2500,15,0
layer,5000,24,0
layer,5500,33,0
layer,6000,42,0
layer,7000,46,0
layer,8000,49,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,15,0
layer,8000,24,0
layer,8000,33,0
layer,8000,42,0
layer,8000,46,0
layer,8000,49,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,9,0
layer,8000,15,0
layer,8000,24,0
category,icon,EM_CATEGORY_ICON,
category,pattern,EM_CATEGORY_PATTERNS,
category,symbol,EM_CATEGORY_SYMBOL,
category,alphanumeric,EM_CATEGORY_ALPHANUMERIC,
category,loot,EM_CATEGORY_BLACKMARKET,
category,sticker,EM_CATEGORY_STICKERS,
category,stickerset,EM_CATEGORY_STICKERSETS,
category,backgrounds,EM_CATEGORY_BACKGROUNDS,
category,defaultsticker,EM_CATEGORY_DEFAULTSTICKERS,
icontype,general,EM_ICONTYPE_GENERAL,
bgcategory,gamemode,EM_BGCATEGORY_GAMEMODES,
bgcategory,prestige,EM_BGCATEGORY_PRESTIGE,
bgcategory,default,EM_BG_DEFAULT,
bgcategory,global,EM_BG_GLOBAL,
bgcategory,loot,EM_CATEGORY_BLACKMARKET,
bgcategory,zmprestige,EM_BGCATEGORY_PRESTIGE,
bgcategory,arenavet,EM_BGCATEGORY_ARENAVET,
bgcategory,arenabest,EM_BGCATEGORY_ARENABEST,
bgcategory,hero,EM_BGCATEGORY_HERO,
bgcategory,group,EM_BGCATEGORY_GROUP,
bgcategory,bonuscard,EM_BGCATEGORY_BONUSCARD,
bgcategory,killstreak,EM_BGCATEGORY_KILLSTREAK,
bgcategory,attachment,EM_BGCATEGORY_ATTACHMENT,
bgcategory,weapon_grenade,EM_BGCATEGORY_GRENADE,
bgcategory,none,EM_BGCATEGORY_NONE,
materialcategory,general,EM_BGCATEGORY_GENERAL,
materialcategory,camo,EM_BGCATEGORY_WEAPONS,
materialcategory,loot,EM_CATEGORY_BLACKMARKET,
materialcategory,hidden,MENU_HIDDEN,
