0,300,#ar_accurate_t8,reflex,100,0,u9?0
1,1400,#ar_accurate_t8,grip,200,0,u9?0
2,3300,#ar_accurate_t8,fmj,300,0,u9?0
3,6000,#ar_accurate_t8,quickdraw,400,0,u9?0
4,9500,#ar_accurate_t8,acog,500,0,u9?0
5,13800,#ar_accurate_t8,steadyaim,600,0,u9?0
6,18900,#ar_accurate_t8,holo,700,0,u9?0
7,25200,#ar_accurate_t8,extbarrel,800,0,u9?0
8,32700,#ar_accurate_t8,dualoptic,900,0,u9?0
9,41400,#ar_accurate_t8,mms,1000,0,u9?0
10,51300,#ar_accurate_t8,grip2,1100,0,u9?0
11,62400,#ar_accurate_t8,ir,1200,0,u9?0
0,300,#ar_an94_t8,reflex,100,0,u9?0
1,1400,#ar_an94_t8,grip,200,0,u9?0
2,3300,#ar_an94_t8,stalker,300,0,u9?0
3,6000,#ar_an94_t8,mixclip,400,0,u9?0
4,9500,#ar_an94_t8,extbarrel,500,0,u9?0
5,13800,#ar_an94_t8,dualoptic,600,0,u9?0
6,18900,#ar_an94_t8,steadyaim,700,0,u9?0
7,25200,#ar_an94_t8,quickdraw,800,0,u9?0
8,32700,#ar_an94_t8,mms,900,0,u9?0
9,41400,#ar_an94_t8,damage,1000,0,u9?0
10,51300,#ar_an94_t8,ir,1100,0,u9?0
11,62400,#ar_an94_t8,suppressed,1200,0,u9?0
0,300,#ar_damage_t8,reflex,100,0,u9?0
1,1400,#ar_damage_t8,damage,200,0,u9?0
2,3300,#ar_damage_t8,fmj,300,0,u9?0
3,6000,#ar_damage_t8,extbarrel,400,0,u9?0
4,9500,#ar_damage_t8,acog,500,0,u9?0
5,13800,#ar_damage_t8,fastreload,600,0,u9?0
6,18900,#ar_damage_t8,holo,700,0,u9?0
7,25200,#ar_damage_t8,grip,800,0,u9?0
8,32700,#ar_damage_t8,dualoptic,900,0,u9?0
9,41400,#ar_damage_t8,mms,1000,0,u9?0
10,51300,#ar_damage_t8,fmj2,1100,0,u9?0
11,62400,#ar_damage_t8,damage2,1200,0,u9?0
0,300,#ar_doublebarrel_t8,reflex,100,0,u9?0
1,1400,#ar_doublebarrel_t8,extclip,200,0,u9?0
2,3300,#ar_doublebarrel_t8,steadyaim,300,0,u9?0
3,6000,#ar_doublebarrel_t8,fmj,400,0,u9?0
4,9500,#ar_doublebarrel_t8,extbarrel,500,0,u9?0
5,13800,#ar_doublebarrel_t8,grip,600,0,u9?0
6,18900,#ar_doublebarrel_t8,holo,700,0,u9?0
7,25200,#ar_doublebarrel_t8,damage,800,0,u9?0
8,32700,#ar_doublebarrel_t8,stalker,900,0,u9?0
9,41400,#ar_doublebarrel_t8,mms,1000,0,u9?0
10,51300,#ar_doublebarrel_t8,extclip2,1100,0,u9?0
11,62400,#ar_doublebarrel_t8,steadyaim2,1200,0,u9?0
0,300,#ar_fastfire_t8,reflex,100,0,u9?0
1,1400,#ar_fastfire_t8,steadyaim,200,0,u9?0
2,3300,#ar_fastfire_t8,fastreload,300,0,u9?0
3,6000,#ar_fastfire_t8,quickdraw,400,0,u9?0
4,9500,#ar_fastfire_t8,holo,500,0,u9?0
5,13800,#ar_fastfire_t8,stalker,600,0,u9?0
6,18900,#ar_fastfire_t8,fastreload2,700,0,u9?0
7,25200,#ar_fastfire_t8,dualoptic,800,0,u9?0
8,32700,#ar_fastfire_t8,quickdraw2,900,0,u9?0
9,41400,#ar_fastfire_t8,elo,1000,0,u9?0
10,51300,#ar_fastfire_t8,steadyaim2,1100,0,u9?0
11,62400,#ar_fastfire_t8,uber,1200,0,u9?0
0,300,#ar_galil_t8,reflex,100,0,u9?0
1,1400,#ar_galil_t8,grip,200,0,u9?0
2,3300,#ar_galil_t8,extbarrel,300,0,u9?0
3,6000,#ar_galil_t8,fmj,400,0,u9?0
4,9500,#ar_galil_t8,extclip,500,0,u9?0
5,13800,#ar_galil_t8,acog,600,0,u9?0
6,18900,#ar_galil_t8,stalker,700,0,u9?0
7,25200,#ar_galil_t8,suppressed,800,0,u9?0
8,32700,#ar_galil_t8,steadyaim,900,0,u9?0
9,41400,#ar_galil_t8,quickdraw,1000,0,u9?0
10,51300,#ar_galil_t8,grip2,1100,0,u9?0
11,62400,#ar_galil_t8,ir,1200,0,u9?0
0,300,#ar_modular_t8,reflex,100,0,u9?0
1,1400,#ar_modular_t8,mixclip,200,0,u9?0
2,3300,#ar_modular_t8,quickdraw,300,0,u9?0
3,6000,#ar_modular_t8,steadyaim,400,0,u9?0
