name,string
#ct_timer_mod_ticks2,ct_timer_mod_ticks2
#ct_timer_mod_ticks0,ct_timer_mod_ticks0
#ct_timer_mod_ticks1,ct_timer_mod_ticks1
#ct_shared_ingame_objective,ct_shared_ingame_objective
#bountyhunterbuy,bountyhunterbuy
#hidetimer,hidetimer
#infecttimer,infecttimer
#ct_progressbar_status,ct_progressbar_status
#ct_shared_aar_medals,ct_shared_aar_medals
#ct_shared_warning,ct_shared_warning
#mp_infect_timer,mp_infect_timer
#debug_center_screen_instance,debug_center_screen_instance
#death_zone,death_zone
#ct_shared_ingame_hint,ct_shared_ingame_hint
#ct_crash_kill_remaining_enemy,ct_crash_kill_remaining_enemy
#mp_laststand_client,mp_laststand_client
#remote_missile_target_lockon,remote_missile_target_lockon
#ct_firebreak_multi_kill,ct_firebreak_multi_kill
#local_heal_multi_stage_friendly_lockon1,local_heal_multi_stage_friendly_lockon1
#local_heal_multi_stage_friendly_lockon0,local_heal_multi_stage_friendly_lockon0
#local_heal_multi_stage_friendly_lockon3,local_heal_multi_stage_friendly_lockon3
#local_heal_multi_stage_friendly_lockon2,local_heal_multi_stage_friendly_lockon2
#local_heal_multi_stage_friendly_lockon4,local_heal_multi_stage_friendly_lockon4
#wz_revive_prompt,wz_revive_prompt
#remote_missile_targets,remote_missile_targets
#hardpoint_bar,hardpoint_bar
#seeker_mine_prompt,seeker_mine_prompt
#fail_screen,fail_screen
#multi_stage_friendly_lockon,multi_stage_friendly_lockon
#ct_shared_objcounter,ct_shared_objcounter
#mp_prop_timer,mp_prop_timer
#mp_prop_controls,mp_prop_controls
#ct_recon_melee_vip,ct_recon_melee_vip
#mp_revive_prompt,mp_revive_prompt
#insertion_passenger_count,insertion_passenger_count
#success_screen,success_screen
#ct_recon_enemy_reinforcement,ct_recon_enemy_reinforcement
#ct_timer_mod_ticks,ct_timer_mod_ticks
#full_screen_movie,full_screen_movie
#captured_bar,captured_bar
#propcontrols,propcontrols
#bountyhunterloadout,bountyhunterloadout
#multi_stage_target_lockon,multi_stage_target_lockon
#ct_shared_aar,ct_shared_aar
#progress_bar,progress_bar
#ct_shared_button_prompt,ct_shared_button_prompt
#player_insertion_choice,player_insertion_choice
#ct_shared_desc,ct_shared_desc
