name,string
#wz_wingsuit_hud,wz_wingsuit_hud
#ct_skirmishoutro_crash,ct_skirmishoutro_crash
#prototype_defend_timer,prototype_defend_timer
#ct_tutocrash_loadingmovie,ct_tutocrash_loadingmovie
#debug_center_screen_instance,debug_center_screen_instance
#ct_tutoseraph_loadingmovie,ct_tutoseraph_loadingmovie
#death_zone,death_zone
#ct_skirmishoutro_prophet,ct_skirmishoutro_prophet
#remote_missile_target_lockon,remote_missile_target_lockon
#ct_tutorecon_loadingmovie,ct_tutorecon_loadingmovie
#local_heal_multi_stage_friendly_lockon1,local_heal_multi_stage_friendly_lockon1
#local_heal_multi_stage_friendly_lockon0,local_heal_multi_stage_friendly_lockon0
#local_heal_multi_stage_friendly_lockon3,local_heal_multi_stage_friendly_lockon3
#local_heal_multi_stage_friendly_lockon2,local_heal_multi_stage_friendly_lockon2
#local_heal_multi_stage_friendly_lockon4,local_heal_multi_stage_friendly_lockon4
#ct_tutotorque_loadingmovie,ct_tutotorque_loadingmovie
#wz_revive_prompt,wz_revive_prompt
#ct_tutoruin_loadingmovie,ct_tutoruin_loadingmovie
#remote_missile_targets,remote_missile_targets
#vehicleturretdurability,vehicleturretdurability
#ct_skirmishoutro_torque,ct_skirmishoutro_torque
#self_respawn,self_respawn
#seeker_mine_prompt,seeker_mine_prompt
#ct_skirmishoutro_nomad,ct_skirmishoutro_nomad
#spectrerisingindicator_7,spectrerisingindicator_7
#spectrerisingindicator_6,spectrerisingindicator_6
#spectrerisingindicator_5,spectrerisingindicator_5
#spectrerisingindicator_4,spectrerisingindicator_4
#spectrerisingindicator_3,spectrerisingindicator_3
#spectrerisingindicator_2,spectrerisingindicator_2
#spectrerisingindicator_1,spectrerisingindicator_1
#spectrerisingindicator_0,spectrerisingindicator_0
#vehicleturretoverheat,vehicleturretoverheat
#ct_tutofirebreak_loadingmovie,ct_tutofirebreak_loadingmovie
#fail_screen,fail_screen
#multi_stage_friendly_lockon,multi_stage_friendly_lockon
#spectrerisingindicator,spectrerisingindicator
#mp_revive_prompt,mp_revive_prompt
#insertion_passenger_count,insertion_passenger_count
#success_screen,success_screen
#ct_tutoprophet_loadingmovie,ct_tutoprophet_loadingmovie
#ct_tutonomad_loadingmovie,ct_tutonomad_loadingmovie
#ct_skirmishoutro_seraph,ct_skirmishoutro_seraph
#ct_skirmishoutro_ruin,ct_skirmishoutro_ruin
#prototype_self_revive,prototype_self_revive
#ct_skirmishoutro_battery,ct_skirmishoutro_battery
#multi_stage_target_lockon,multi_stage_target_lockon
#prototype_hud,prototype_hud
#ct_skirmishoutro_ajax,ct_skirmishoutro_ajax
#ct_tutorialajax_loadingmovie,ct_tutorialajax_loadingmovie
#ct_skirmishoutro_firebreak,ct_skirmishoutro_firebreak
#ct_tutobattery_loadingmovie,ct_tutobattery_loadingmovie
#player_insertion_choice,player_insertion_choice
#ct_skirmishoutro_recon,ct_skirmishoutro_recon
