name,string
#remote_missile_target_lockon5,remote_missile_target_lockon5
#remote_missile_target_lockon4,remote_missile_target_lockon4
#remote_missile_target_lockon3,remote_missile_target_lockon3
#remote_missile_target_lockon2,remote_missile_target_lockon2
#remote_missile_target_lockon1,remote_missile_target_lockon1
#remote_missile_target_lockon0,remote_missile_target_lockon0
#mp_revive_prompt_4,mp_revive_prompt_4
#mp_revive_prompt_1,mp_revive_prompt_1
#mp_revive_prompt_2,mp_revive_prompt_2
#mp_revive_prompt_3,mp_revive_prompt_3
#remote_missile_targets,remote_missile_targets
#revive_hud,revive_hud
#wz_revive_prompt_1,wz_revive_prompt_1
#wz_revive_prompt_2,wz_revive_prompt_2
#wz_revive_prompt_3,wz_revive_prompt_3
