name,string
#zm_hint_text,zm_hint_text
#zm_towers_pap_hud,zm_towers_pap_hud
#zm_towers_challenges_hud,zm_towers_challenges_hud
#zm_towers_crowd_meter,zm_towers_crowd_meter
#zm_arcade_timer,zm_arcade_timer
#zm_tut_hint_text,zm_tut_hint_text
#self_revive_visuals,self_revive_visuals
#zm_zod_wonderweapon_quest,zm_zod_wonderweapon_quest
#zm_trial_weapon_locked,zm_trial_weapon_locked
#zm_build_progress,zm_build_progress
#zm_laststand_client,zm_laststand_client
#self_revive_visuals_rush,self_revive_visuals_rush
#zm_location,zm_location
#zm_arcade_keys,zm_arcade_keys
#zm_red_challenges_hud,zm_red_challenges_hud
#zm_trial_timer,zm_trial_timer
#zm_game_over,zm_game_over
#zm_game_timer,zm_game_timer
