0,#b1,#c2,#d3,0
1000001,#zm_bgb_ctrl_z,#elixir,#zmcommon,1
1000002,#zm_bgb_dead_of_nuclear_winter,#elixir,#zmcommon,1
1000003,#zm_bgb_in_plain_sight,#elixir,#zmcommon,1
1000004,#zm_bgb_licensed_contractor,#elixir,#zmcommon,1
1000005,#zm_bgb_phantom_reload,#elixir,#zmcommon,1
1000006,#zm_bgb_sword_flay,#elixir,#zmcommon,1
1000007,#zm_bgb_whos_keeping_score,#elixir,#zmcommon,1
1000008,#zm_bgb_alchemical_antithesis,#elixir,#zmrare,1
1000009,#zm_bgb_blood_debt,#elixir,#zmrare,1
1000010,#zm_bgb_extra_credit,#elixir,#zmrare,1
1000011,#zm_bgb_immolation_liquidation,#elixir,#zmrare,1
1000012,#zm_bgb_kill_joy,#elixir,#zmrare,1
1000013,#zm_bgb_shields_up,#elixir,#zmrare,1
1000014,#zm_bgb_free_fire,#elixir,#zmlegendary,1
1000015,#zm_bgb_power_keg,#elixir,#zmlegendary,1
1000016,#zm_bgb_undead_man_walking,#elixir,#zmlegendary,1
1000017,#zm_bgb_wall_to_wall_clearance,#elixir,#zmlegendary,1
1000018,#zm_bgb_cache_back,#elixir,#zmlegendary,1
1000019,#zm_bgb_join_the_party,#elixir,#zmepic,1
1000020,#zm_bgb_wall_power,#elixir,#zmepic,1
1000021,#talisman_box_guarantee_box_only,#talisman,#zmcommon,1
1000022,#talisman_coagulant,#talisman,#zmcommon,1
1000023,#talisman_extra_claymore,#talisman,#zmcommon,1
1000024,#talisman_extra_frag,#talisman,#zmcommon,1
1000025,#talisman_extra_molotov,#talisman,#zmcommon,1
1000026,#talisman_extra_semtex,#talisman,#zmcommon,1
1000027,#talisman_impatient,#talisman,#zmcommon,1
1000028,#talisman_weapon_reducepapcost,#talisman,#zmcommon,1
1000029,#talisman_perk_reducecost_1,#talisman,#zmcommon,1
1000030,#talisman_perk_reducecost_2,#talisman,#zmcommon,1
1000031,#talisman_perk_reducecost_3,#talisman,#zmcommon,1
1000032,#talisman_perk_reducecost_4,#talisman,#zmcommon,1
1000033,#talisman_shield_price,#talisman,#zmcommon,1
1000034,#talisman_special_xp_rate,#talisman,#zmcommon,1
1000035,#talisman_start_weapon_smg,#talisman,#zmcommon,1
1000036,#talisman_box_guarantee_lmg,#talisman,#zmrare,1
1000037,#talisman_extra_miniturret,#talisman,#zmrare,1
1000038,#talisman_perk_start_1,#talisman,#zmrare,1
1000039,#talisman_perk_start_2,#talisman,#zmrare,1
1000040,#talisman_perk_start_3,#talisman,#zmrare,1
1000041,#talisman_perk_start_4,#talisman,#zmrare,1
1000042,#talisman_shield_durability_rare,#talisman,#zmrare,1
1000043,#talisman_start_weapon_ar,#talisman,#zmrare,1
1000044,#talisman_perk_permanent_1,#talisman,#zmlegendary,1
1000045,#talisman_perk_permanent_2,#talisman,#zmlegendary,1
1000046,#talisman_perk_permanent_3,#talisman,#zmlegendary,1
1000047,#talisman_perk_permanent_4,#talisman,#zmlegendary,1
1000048,#talisman_shield_durability_legendary,#talisman,#zmlegendary,1
1000049,#talisman_special_startlv2,#talisman,#zmlegendary,1
1000050,#talisman_start_weapon_lmg,#talisman,#zmepic,1
1000051,#talisman_special_startlv3,#talisman,#zmepic,1
1000052,#talisman_perk_mod_single,#talisman,#zmepic,1
1000053,#zm_bgb_refresh_mint,#elixir,#zmepic,1
1000054,#zm_bgb_perk_up,#elixir,#zmepic,1
1000055,#zm_bgb_conflagration_liquidation,#elixir,#zmepic,1
1000056,#zm_bgb_bullet_boost,#elixir,#zmcommon,1
1000057,#zm_bgb_talkin_bout_regeneration,#elixir,#zmrare,1
1000058,#zm_bgb_dividend_yield,#elixir,#zmlegendary,1
1000059,#zm_bgb_suit_up,#elixir,#zmepic,1
1000060,#talisman_permanent_heroweap_armor,#talisman,#zmlegendary,1
1000061,#talisman_extra_self_revive,#talisman,#zmepic,1
1000062,#zm_bgb_perkaholic,#elixir,#zmepic,2
1000063,#zm_bgb_near_death_experience,#elixir,#zmepic,2
1000064,#zm_bgb_shopping_free,#elixir,#zmepic,2
1000065,#zm_bgb_reign_drops,#elixir,#zmepic,2
1000066,#zm_bgb_phoenix_up,#elixir,#zmepic,3
1000067,#zm_bgb_head_drama,#elixir,#zmepic,3
1000068,#zm_bgb_secret_shopper,#elixir,#zmepic,4
1000069,#zm_bgb_power_vacuum,#elixir,#zmepic,4
