id,name
0,#hash_6a16dfeef06ac51c
1,#code1entitlement
2,#hash_29a55a0bd890d553
3,#hash_6d970d60330b18ae
4,#hash_18a725339271f2cd
5,#hash_23020aad3e11319c
6,#hash_3bdea23bdaf669e2
7,#hash_2f68c457366c050c
8,#hash_cc6d7b086ce5aa2
9,#hash_24712e7172624ba7
10,#hash_31198f2c6d9617bc
11,#hash_32aae983a8f06fc3
12,#hash_c4f9839e46d40b8
13,#hash_256639cd8e8f1703
14,#hash_70d9a113171c8b3e
15,#hash_51ab701683ee4d66
16,#hash_551ae289f3bff364
17,#hash_6c11cd2a40fe926e
18,#loyalty_entitlement
19,#code2entitlement
