p8_crate_wood_milk_01,small,1,0,0,0,0,0,0,20,165
p8_news_ren_beer_box_02,small,1,0,0,0,0,0,0,20,165
p8_col_barrel_metal_01_yellow,medium,1,0,0,0,0,0,0,28,165
veh_t8_mil_atv_recon,large,1,20,0,0,0,0,0,48,200
p7_crate_plastic_tech_02,medium,1,0,0,0,0,0,0,28,165
p8_candle_holder_vintage_01,small,1,0,0,0,0,90,0,28,165
p8_usa_beehive_center_part_01,medium,1,0,0,0,0,0,0,28,165
p7_foliage_tree_elm_english_autumn_tall,large,1,0,0,0,0,0,0,300,400
p7_wes_trophy_taxidermy_bear,large,1,0,0,0,0,90,0,36,165
p8_metal_tank_water,large,1,0,0,21,0,0,0,20,165
p8_usa_fence_wood_worn_pg_group_01,large,1,0,0,0,0,270,0,36,165
p8_usa_foliage_log_pg_01,large,1,0,0,8,0,0,0,20,165
