p8_wz_skt_skateboard_modern_01_deck_full,small,1,0,0,0,0,0,0,28,165
p8_wz_skt_skateboard_longboard_01_full,small,1,0,0,0,0,0,0,28,165
p8_wz_skt_backpack_01_plaid,small,1,0,0,0,0,90,0,28,165
p8_wz_skt_trash_can_01,small,1,0,0,0,0,90,0,28,165
p8_wz_skt_int_ramps_spine_wood,large,1,0,0,0,0,0,0,40,200
p8_wz_skt_barrier_01,medium,1,0,0,0,0,90,0,28,165
p8_wz_skt_amp_speaker,large,1,0,0,0,0,90,0,28,165
p8_wz_skt_trash_can_05,medium,1,0,0,0,0,0,0,28,165
p8_wz_skt_ramps_concrete_02,large,1,0,0,0,0,0,0,40,200
p7_street_manhole_cover_02,small,1,0,0,0,0,0,0,28,165
p8_wz_skt_vending_machine_02,large,1,0,0,0,0,90,0,28,165
p8_wz_skt_potted_plant_palm_square,medium,1,0,0,0,0,0,0,28,165
p8_wz_skt_skateboard_shorty_01_full,small,1,0,0,0,0,0,0,28,165
p8_wz_skt_speaker_monitor,medium,1,0,0,0,0,0,0,28,165
