p8_brick_cocaine_lg_stack_01_white,small,1,0,0,0,0,90,0,20,165
p8_zm_zod_light_lamp_desk_pattern,small,1,0,0,0,0,0,0,20,165
p7_log_wood_pile_02,small,1,0,0,0,0,90,0,20,165
p8_crate_milk_plastic,small,1,0,0,0,0,0,0,20,165
p8_spa_pottery_terracotta_b,medium,1,0,0,0,0,0,0,28,165
p8_food_fruit_grape_box_full,medium,1,0,0,0,0,0,0,28,165
p8_ladder_short_step_open,medium,1,0,0,0,0,0,0,28,165
p7_wes_bed_victorian_ornate_pillow_01,medium,1,0,0,6,0,0,0,28,165
p7_ntx_blue_house_flower_vase_02,medium,1,0,0,0,0,270,0,28,165
p8_spa_patio_wall_divider_01,large,1,0,-40,0,0,90,0,36,165
p7_wes_table_wood_wall,large,1,0,0,0,0,0,0,36,165
p8_spa_chair_art_hallway,large,1,0,0,0,0,180,0,36,165
p7_bench_wood_curveback,large,1,0,0,0,0,90,0,36,165
p8_marble_statue_04,large,1,0,0,0,0,0,0,36,165
p8_spa_patio_furniture_seat_short_01_gold,large,1,-32,-32,0,0,0,0,36,165
