name,string
#ct_skirmishoutro_crash,ct_skirmishoutro_crash
#ct_skirmishdomination_loadingmovie,ct_skirmishdomination_loadingmovie
#ct_tutocrash_loadingmovie,ct_tutocrash_loadingmovie
#lower_message,lower_message
#ct_tutoseraph_loadingmovie,ct_tutoseraph_loadingmovie
#ct_skirmishoutro_prophet,ct_skirmishoutro_prophet
#ct_skirmishcontrol_loadingmovie,ct_skirmishcontrol_loadingmovie
#scavenger_icon,scavenger_icon
#ct_outro,ct_outro
#ct_tutorecon_loadingmovie,ct_tutorecon_loadingmovie
#ct_interstitial_savannah2,ct_interstitial_savannah2
#ct_interstitial_savannah3,ct_interstitial_savannah3
#ct_interstitial_savannah1,ct_interstitial_savannah1
#ct_interstitial_savannah4,ct_interstitial_savannah4
#ct_interstitial_savannah5,ct_interstitial_savannah5
#ct_tutotorque_loadingmovie,ct_tutotorque_loadingmovie
#ct_tutoruin_loadingmovie,ct_tutoruin_loadingmovie
#ct_skirmishhsearchndestroy_loadingmovie,ct_skirmishhsearchndestroy_loadingmovie
#ct_skirmishfreeforall_loadingmovie,ct_skirmishfreeforall_loadingmovie
#ct_skirmishoutro_torque,ct_skirmishoutro_torque
#full_screen_black,full_screen_black
#ct_skirmishoutro_nomad,ct_skirmishoutro_nomad
#ct_skirmishhardpoint_loadingmovie,ct_skirmishhardpoint_loadingmovie
#initial_black,initial_black
#ct_tutofirebreak_loadingmovie,ct_tutofirebreak_loadingmovie
#ct_interstitial_intro,ct_interstitial_intro
#luielembar_ct,luielembar_ct
#revive_hud,revive_hud
#ct_intro,ct_intro
#ct_interstitial_outro,ct_interstitial_outro
#ct_skirmishhkillconfirmed_loadingmovie,ct_skirmishhkillconfirmed_loadingmovie
#luielemimage,luielemimage
#ct_tutoprophet_loadingmovie,ct_tutoprophet_loadingmovie
#debug_center_screen,debug_center_screen
#luielemtext,luielemtext
#scavenger_pickup,scavenger_pickup
#full_screen_movie,full_screen_movie
#interactive_shot,interactive_shot
#ct_tutonomad_loadingmovie,ct_tutonomad_loadingmovie
#ct_skirmishoutro_seraph,ct_skirmishoutro_seraph
#ct_interstitial_bunker4,ct_interstitial_bunker4
#ct_interstitial_bunker3,ct_interstitial_bunker3
#ct_interstitial_bunker2,ct_interstitial_bunker2
#ct_interstitial_bunker1,ct_interstitial_bunker1
#ct_skirmishoutro_ruin,ct_skirmishoutro_ruin
#ct_skirmishoutro_battery,ct_skirmishoutro_battery
#cp_skip_scene_menu,cp_skip_scene_menu
#multi_stage_target_lockon4,multi_stage_target_lockon4
#multi_stage_target_lockon0,multi_stage_target_lockon0
#multi_stage_target_lockon1,multi_stage_target_lockon1
#multi_stage_target_lockon2,multi_stage_target_lockon2
#multi_stage_target_lockon3,multi_stage_target_lockon3
#ct_skirmishoutro_ajax,ct_skirmishoutro_ajax
#ct_tutorialajax_loadingmovie,ct_tutorialajax_loadingmovie
#ct_skirmishoutro_firebreak,ct_skirmishoutro_firebreak
#ct_tutobattery_loadingmovie,ct_tutobattery_loadingmovie
#ct_skirmishoutro_recon,ct_skirmishoutro_recon
#luielembar,luielembar
#ct_skirmishhteamdeathmatch_loadingmovie,ct_skirmishhteamdeathmatch_loadingmovie
#ct_interstitial_bunker1,ct_interstitial_bunker1
#ct_skirmishoutro_prophet,ct_skirmishoutro_prophet
#ct_skirmishoutro_firebreak,ct_skirmishoutro_firebreak
#ct_skirmishoutro_recon,ct_skirmishoutro_recon
#ct_interstitial_bunker2,ct_interstitial_bunker2
#ct_skirmishhteamdeathmatch_loadingmovie,ct_skirmishhteamdeathmatch_loadingmovie
#ct_intro,ct_intro
#ct_outro,ct_outro
#ct_tutobattery_loadingmovie,ct_tutobattery_loadingmovie
#ct_skirmishoutro_ruin,ct_skirmishoutro_ruin
#ct_tutoprophet_loadingmovie,ct_tutoprophet_loadingmovie
#ct_skirmishoutro_seraph,ct_skirmishoutro_seraph
#ct_tutofirebreak_loadingmovie,ct_tutofirebreak_loadingmovie
#ct_tutonomad_loadingmovie,ct_tutonomad_loadingmovie
#ct_interstitial_savannah3,ct_interstitial_savannah3
#ct_interstitial_savannah2,ct_interstitial_savannah2
#ct_tutorecon_loadingmovie,ct_tutorecon_loadingmovie
#ct_tutotorque_loadingmovie,ct_tutotorque_loadingmovie
#ct_skirmishoutro_torque,ct_skirmishoutro_torque
#ct_tutorialajax_loadingmovie,ct_tutorialajax_loadingmovie
#ct_skirmishoutro_crash,ct_skirmishoutro_crash
#ct_tutoseraph_loadingmovie,ct_tutoseraph_loadingmovie
#ct_interstitial_bunker3,ct_interstitial_bunker3
#ct_interstitial_bunker4,ct_interstitial_bunker4
