id,name
0,#hash_76c3d78317b27b11
1,#hash_3f23e748ec787ee3
2,#hash_1ea4be550ab06161
3,#hash_37c616acedc51d1d
4,#hash_744d387c398d82ad
5,#hash_4eb85e76bd305293
6,#hash_61abfa80dd80d262
7,#hash_22e50917045c0c13
8,#hash_5a007ae024403f92
9,#hash_6a38b1ff8a50a167
10,#hash_289cf2f06422b2aa
11,#hash_16d83fd17a87c96b
12,#hash_4229c75fa42fa856
13,#hash_2b277088930b40f5
14,#hash_6f7c1ff18a02ed4e
15,#hash_44d0e7f0520665cc
16,#hash_69df29d0839a1be1
17,#hash_49ec2b060a91a01c
18,#hash_6a89b0043762730b
19,#hash_8e4ad8151c7366
20,#hash_b4cdbec9f5007d3
21,#hash_3124842d07e8b0b0
22,#hash_7541976a426adb94
23,#digitalgame
24,#hash_754c2b9dddd8a254
25,#enhancedgame
26,#hash_6c94ed95e25d8246
27,#blackops_pack
28,#beta_reward
29,#hash_43638ef15ba822fb
30,#hash_53ee7271a9a14421
31,#hash_12eda6dc2d0d4a00
32,#hash_3fdb33a570693a76
33,#hash_981e72e15ae972e
34,#hash_6b8deee1321bae10
35,#hash_3ecc9ac085f072d
36,#hash_3ecc6ac085f0214
37,#ambassador_champion
38,#ambassador_hero
39,#ambassador_legend
40,#hash_62f6851583c61d1f
41,#hash_7152f1598a5c3de
42,#hash_62f68e1583c62c6a
43,#hash_5bd04e15802702be
44,#hash_5bd04c158026ff58
45,#hash_4015be56c5ea0253
46,#hash_16582f0e479c96e9
47,#hash_cd8abbefa13697a
48,#hash_7b8c1420e8355cda
49,#hash_377b58d9f38de25f
50,#hash_b3fc95cbbd2bdd2
51,#hash_41e69a5ceab94172
52,#hash_2a3075cc426f24e7
53,#hash_74ca77fc7779f36
