0,reticle,reflex,#mc/mtl_attach_t8_optic_reflex_reticle,#,#mc/mtl_t7_attach_optic_reflex_reticle,,,,,,,,,,,,,,,,,,
1,reticle,reflex,#hash_101f17a3ed2b5705,#,#mc/mtl_t7_optic_cp_rmr_reticle_01,,,,,,,,,,,,,,,,,,
2,reticle,reflex,#hash_101f14a3ed2b51ec,#,#mc/mtl_t7_optic_cp_rmr_reticle_02,,,,,,,,,,,,,,,,,,
3,reticle,reflex,#hash_101f15a3ed2b539f,#,#mc/mtl_t7_optic_cp_rmr_reticle_03,,,,,,,,,,,,,,,,,,
4,reticle,reflex,#hash_101f12a3ed2b4e86,#,#mc/mtl_t7_attach_optic_rmr_reticle_02,,,,,,,,,,,,,,,,,,
5,reticle,reflex,#mc/mtl_attach_t8_optic_reflex_reticle_02,#,#mc/mtl_t7_attach_optic_rmr_reticle_06,,,,,,,,,,,,,,,,,,
6,reticle,reflex,#hash_151ac21228446c22,#,#mc/mtl_t7_attach_optic_rmr_reticle_05,,,,,,,,,,,,,,,,,,
7,reticle,reflex,#hash_151ac11228446a6f,#,#mc/mtl_t7_attach_optic_rmr_reticle_03,,,,,,,,,,,,,,,,,,
8,reticle,reflex,#hash_151ac012284468bc,#,#mc/mtl_t7_attach_optic_rmr_reticle_07,,,,,,,,,,,,,,,,,,
9,reticle,reflex,#hash_151abf1228446709,#,#mc/mtl_t7_attach_optic_rmr_reticle_04,,,,,,,,,,,,,,,,,,
10,reticle,reflex,#mc/mtl_attach_t8_optic_reflex_reticle_03,#,#mc/mtl_t7_attach_optic_rmr_reticle_fun04,,,,,,,,,,,,,,,,,,
11,reticle,reflex,#hash_6d68630b329f3e85,#,#mc/mtl_t7_attach_optic_rmr_reticle_fun01,,,,,,,,,,,,,,,,,,
12,reticle,reflex,#hash_6d68600b329f396c,#,#mc/mtl_t7_attach_optic_rmr_reticle_fun02,,,,,,,,,,,,,,,,,,
13,reticle,reflex,#hash_6d68610b329f3b1f,#,#mc/mtl_t7_attach_optic_rmr_reticle_fun03,,,,,,,,,,,,,,,,,,
14,reticle,reflex,#hash_6d685e0b329f3606,#,#mc/mtl_t7_attach_optic_zm_rmr_reticle_01,,,,,,,,,,,,,,,,,,
15,reticle,reflex,#mc/mtl_attach_t8_optic_reflex_reticle_04,#,#mc/mtl_t7_attach_optic_zm_rmr_reticle_02,,,,,,,,,,,,,,,,,,
16,reticle,reflex,#hash_23e8a8fd3dcd8364,#,#mc/mtl_t7_attach_optic_zm_rmr_reticle_03,,,,,,,,,,,,,,,,,,
17,reticle,reflex,#hash_23e8abfd3dcd887d,#,#mc/mtl_t7_attach_optic_zm_rmr_reticle_04,,,,,,,,,,,,,,,,,,
18,reticle,reflex,#hash_23e8aafd3dcd86ca,#,#mc/mtl_t7_attach_optic_rmr_reticle_11,,,,,,,,,,,,,,,,,,
19,reticle,reflex,#hash_23e8a5fd3dcd7e4b,#,#mc/mtl_t7_attach_optic_rmr_reticle_12,,,,,,,,,,,,,,,,,,
20,reticle,reflex,#mc/mtl_attach_t8_optic_reflex_reticle_05,#,#mc/mtl_t7_attach_optic_rmr_reticle_13,,,,,,,,,,,,,,,,,,
